bundesland,faelle,tod,lat,long,datum
Mecklenburg-Vorpommern,17,0,53.8,12.5,2020-03-11
Niedersachsen,75,0,52.57,10.0,2020-03-11
Nordrhein-Westfalen,484,3,51.6,7.5,2020-03-11
Rheinland-Pfalz,25,0,50.0,7.3,2020-03-11
Saarland,14,0,49.4,6.97,2020-03-11
Sachsen,26,0,51.05,13.5,2020-03-11
Sachsen-Anhalt,15,0,52.0,11.65,2020-03-11
Schleswig-Holstein,27,0,54.2,9.9,2020-03-11
Thüringen,10,0,50.85,11.13,2020-03-11
Gesamt,1567,3,51.06,10.0,2020-03-11
Baden-Württemberg,454,1,48.5,9.0,2020-03-12
Bayern,500,1,48.9,11.4,2020-03-12
Berlin,137,0,52.5,13.4,2020-03-12
Brandenburg,30,0,52.0,13.87,2020-03-12
Bremen,38,0,53.1,8.8,2020-03-12
Hamburg,88,0,53.5,10.0,2020-03-12
Hessen,99,0,50.7,9.0,2020-03-12
Mecklenburg-Vorpommern,23,0,53.8,12.5,2020-03-12
Niedersachsen,129,0,52.57,10.0,2020-03-12
Nordrhein-Westfalen,688,3,51.6,7.5,2020-03-12
Rheinland-Pfalz,52,0,50.0,7.3,2020-03-12
Saarland,14,0,49.4,6.97,2020-03-12
Sachsen,45,0,51.05,13.5,2020-03-12
Sachsen-Anhalt,27,0,52.0,11.65,2020-03-12
Schleswig-Holstein,31,0,54.2,9.9,2020-03-12
Thüringen,14,0,50.85,11.13,2020-03-12
Gesamt,2369,5,51.06,10.0,2020-03-12
Baden-Württemberg,454,1,48.5,9.0,2020-03-13
Bayern,558,1,48.9,11.4,2020-03-13
Berlin,174,0,52.5,13.4,2020-03-13
Brandenburg,44,0,52.0,13.87,2020-03-13
Bremen,42,0,53.1,8.8,2020-03-13
Hamburg,99,0,53.5,10.0,2020-03-13
Hessen,148,0,50.7,9.0,2020-03-13
Mecklenburg-Vorpommern,33,0,53.8,12.5,2020-03-13
Niedersachsen,230,0,52.57,10.0,2020-03-13
Nordrhein-Westfalen,936,3,51.6,7.5,2020-03-13
Rheinland-Pfalz,102,0,50.0,7.3,2020-03-13
Saarland,40,0,49.4,6.97,2020-03-13
Sachsen,83,0,51.05,13.5,2020-03-13
Sachsen-Anhalt,42,0,52.0,11.65,2020-03-13
Schleswig-Holstein,48,0,54.2,9.9,2020-03-13
Thüringen,29,0,50.85,11.13,2020-03-13
Gesamt,3062,5,51.06,10.0,2020-03-13
Baden-Württemberg,569,2,48.5,9.0,2020-03-14
Bayern,681,1,48.9,11.4,2020-03-14
Berlin,216,0,52.5,13.4,2020-03-14
Brandenburg,61,0,52.0,13.87,2020-03-14
Bremen,50,0,53.1,8.8,2020-03-14
Hamburg,158,0,53.5,10.0,2020-03-14
Hessen,203,0,50.7,9.0,2020-03-14
Mecklenburg-Vorpommern,45,0,53.8,12.5,2020-03-14
Niedersachsen,253,0,52.57,10.0,2020-03-14
Nordrhein-Westfalen,1154,5,51.6,7.5,2020-03-14
Rheinland-Pfalz,121,0,50.0,7.3,2020-03-14
Saarland,40,0,49.4,6.97,2020-03-14
Sachsen,93,0,51.05,13.5,2020-03-14
Sachsen-Anhalt,45,0,52.0,11.65,2020-03-14
Schleswig-Holstein,60,0,54.2,9.9,2020-03-14
Thüringen,46,0,50.85,11.13,2020-03-14
Gesamt,3795,8,51.06,10.0,2020-03-14
Baden-Württemberg,827,3,48.5,9.0,2020-03-15
Bayern,886,4,48.9,11.4,2020-03-15
Berlin,265,0,52.5,13.4,2020-03-15
Brandenburg,84,0,52.0,13.87,2020-03-15
Bremen,53,0,53.1,8.8,2020-03-15
Hamburg,162,0,53.5,10.0,2020-03-15
Hessen,286,0,50.7,9.0,2020-03-15
Mecklenburg-Vorpommern,50,0,53.8,12.5,2020-03-15
Niedersachsen,287,0,52.57,10.0,2020-03-15
Nordrhein-Westfalen,1407,5,51.6,7.5,2020-03-15
Rheinland-Pfalz,168,0,50.0,7.3,2020-03-15
Saarland,32,0,49.4,6.97,2020-03-15
Sachsen,130,0,51.05,13.5,2020-03-15
Sachsen-Anhalt,47,0,52.0,11.65,2020-03-15
Schleswig-Holstein,103,0,54.2,9.9,2020-03-15
Thüringen,51,0,50.85,11.13,2020-03-15
Gesamt,4838,12,51.06,10.0,2020-03-15
Baden-Württemberg,1105,3,48.5,9.0,2020-03-16
Bayern,1067,5,48.9,11.4,2020-03-16
Berlin,300,0,52.5,13.4,2020-03-16
Brandenburg,94,0,52.0,13.87,2020-03-16
Bremen,56,0,53.1,8.8,2020-03-16
Hamburg,260,0,53.5,10.0,2020-03-16
Hessen,342,0,50.7,9.0,2020-03-16
Mecklenburg-Vorpommern,51,0,53.8,12.5,2020-03-16
Niedersachsen,391,0,52.57,10.0,2020-03-16
Nordrhein-Westfalen,1541,5,51.6,7.5,2020-03-16
Rheinland-Pfalz,325,0,50.0,7.3,2020-03-16
Saarland,85,0,49.4,6.97,2020-03-16
Sachsen,140,0,51.05,13.5,2020-03-16
Sachsen-Anhalt,77,0,52.0,11.65,2020-03-16
Schleswig-Holstein,123,0,54.2,9.9,2020-03-16
Thüringen,55,0,50.85,11.13,2020-03-16
Gesamt,6012,13,51.06,10.0,2020-03-16
